Sr.NO,Age Group,Gender,Affiliation,Field,Continent,ChatGPT,CGPT Plagiarism,Use AI Tools,ChGPT for University,University Allow,Usage
1,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Neutral,Neutral,Maybe,"Research, Assignments and homework"
2,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,No,Neutral,Strongly agree,Yes,Assignments and homework
3,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Yes,Strongly Agree,Strongly agree,Maybe,"Fun, Research, Assignments and homework"
4,18-24,Female,Undergraduate Student,Health Science,Asia,No,Maybe,Agree,Agree,Yes,Other
5,18-24,Male,Undergraduate Student,Arts and Design,Asia,Yes,Yes,Agree,Strongly agree,Maybe,"Fun, Assignments and homework"
6,18-24,Female,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Neutral,Neutral,Maybe,"Fun, Research, Assignments and homework, Other"
7,18-24,Male,Undergraduate Student,Health Science,Asia,Yes,Yes,Agree,Agree,Yes,"Fun, Research, Assignments and homework"
8,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,No,Neutral,Agree,Yes,Assignments and homework
9,18-24,Female,Undergraduate Student,Engineering and Technology,Asia,Yes,No,Neutral,Agree,Yes,"Research, Assignments and homework"
10,18-24,Male,Undergraduate Student,Engineering and Technology,North America,Yes,Yes,Agree,Agree,Yes,Assignments and homework
11,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Yes,Agree,Disagree,Maybe,"Fun, Research, Assignments and homework"
12,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Strongly disagree,Neutral,No,"Fun, Research, Assignments and homework"
13,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,No,Strongly Agree,Disagree,No,Research
14,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Neutral,Neutral,Yes,"Fun, Assignments and homework"
15,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Neutral,Neutral,Maybe,"Research, Assignments and homework"
16,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Agree,Neutral,Yes,"Research, Assignments and homework"
17,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Agree,Agree,Maybe,Assignments and homework
18,18-24,Male,Undergraduate Student,Business and Management,Asia,Yes,Maybe,Strongly Agree,Strongly agree,Yes,"Fun, Research, Assignments and homework"
19,25-31,Female,Post Graduate,Business and Management,Asia,No,Maybe,Strongly disagree,Strongly disagree,Yes,Other
20,18-24,Male,Undergraduate Student,Health Science,Asia,Yes,Maybe,Agree,Agree,Yes,"Research, Assignments and homework"
21,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Yes,Agree,Neutral,Yes,Assignments and homework
22,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Agree,Strongly disagree,Maybe,Research
23,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Strongly Agree,Neutral,Maybe,"Fun, Research"
24,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Disagree,Agree,Yes,"Fun, Research"
25,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,No,Neutral,Neutral,Yes,Fun
26,18-24,Male,Undergraduate Student,Humanities,South America,No,Maybe,Neutral,Agree,Yes,Other
27,32 and above,Female,Other,Other,Australia,Yes,Maybe,Strongly Agree,Agree,Maybe,Assignments and homework
28,18-24,Male,Undergraduate Student,Business and Management,Asia,Yes,No,Disagree,Neutral,Yes,Research
29,25-31,Female,Master's Student,Arts and Design,Africa,No,No,Strongly disagree,Agree,No,Other
30,18-24,Male,Undergraduate Student,Business and Management,Asia,Yes,No,Neutral,Agree,Yes,"Research, Assignments and homework"
31,18-24,Male,Master's Student,Engineering and Technology,Asia,Yes,Maybe,Neutral,Agree,Yes,"Research, Assignments and homework"
32,18-24,Male,Undergraduate Student,Other,Asia,Yes,No,Disagree,Neutral,Maybe,Fun
33,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Strongly Agree,Strongly agree,Yes,"Fun, Research, Assignments and homework, Other"
34,18-24,Other,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Neutral,Agree,Maybe,"Fun, Research"
35,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Agree,Agree,Yes,Fun
36,18-24,Male,Undergraduate Student,Engineering and Technology,North America,Yes,No,Neutral,Neutral,Yes,"Fun, Research, Assignments and homework"
37,18-24,Male,Undergraduate Student,Business and Management,Asia,Yes,Maybe,Neutral,Neutral,Maybe,"Fun, Research"
38,18-24,Male,Undergraduate Student,Humanities,Asia,Yes,Maybe,Neutral,Neutral,Maybe,Fun
39,18-24,Female,Undergraduate Student,Humanities,Asia,Yes,Maybe,Agree,Neutral,No,Research
40,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,No,Maybe,Strongly Agree,Neutral,Maybe,"Research, Assignments and homework"
41,25-31,Male,Master's Student,Social Science,Asia,No,No,Strongly disagree,Agree,No,Other
42,18-24,Male,Undergraduate Student,Engineering and Technology,North America,Yes,Yes,Agree,Strongly agree,Yes,"Fun, Research, Assignments and homework"
43,18-24,Female,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Neutral,Agree,Maybe,Fun
44,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,No,Neutral,Agree,Yes,"Fun, Research, Assignments and homework, Other"
45,18-24,Male,Undergraduate Student,Business and Management,Asia,Yes,No,Agree,Strongly agree,Yes,"Research, Assignments and homework"
46,18-24,Male,Undergraduate Student,Social Science,Asia,Yes,Yes,Disagree,Strongly agree,Yes,"Fun, Other"
47,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,No,Neutral,Neutral,Yes,"Research, Other"
48,18-24,Male,Undergraduate Student,Business and Management,Asia,Yes,Yes,Agree,Neutral,Yes,"Research, Assignments and homework"
49,25-31,Male,Post Graduate,Engineering and Technology,Asia,Yes,No,Neutral,Neutral,Maybe,"Research, Assignments and homework"
50,18-24,Male,Undergraduate Student,Health Science,Asia,No,Maybe,Neutral,Agree,Yes,Other
51,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Neutral,Agree,Maybe,"Fun, Research"
52,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,No,Agree,Neutral,Yes,Fun
53,18-24,Female,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Disagree,Agree,Yes,"Fun, Research, Other"
54,18-24,Male,Master's Student,Business and Management,South America,No,Yes,Strongly disagree,Neutral,Yes,Assignments and homework
55,18-24,Male,Undergraduate Student,Business and Management,Asia,Yes,Maybe,Disagree,Agree,Maybe,"Fun, Research"
56,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Neutral,Disagree,Maybe,Research
57,18-24,Male,Post Graduate,Social Science,Asia,No,Maybe,Strongly disagree,Strongly disagree,Yes,Other
58,18-24,Female,Undergraduate Student,Engineering and Technology,Asia,Yes,Maybe,Agree,Strongly agree,Maybe,Fun
59,18-24,Male,Undergraduate Student,Engineering and Technology,North America,No,Maybe,Agree,Strongly agree,Yes,Other
60,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,No,Agree,Strongly agree,Yes,"Research, Assignments and homework"
61,18-24,Female,Undergraduate Student,Engineering and Technology,North America,Yes,No,Strongly Agree,Strongly agree,Yes,"Fun, Assignments and homework"
62,18-24,Male,Undergraduate Student,Engineering and Technology,Asia,Yes,No,Neutral,Neutral,Maybe,"Fun, Research, Assignments and homework"
